Recorded,NO2,NOx,heat_index,rh,pressure,wdir,wdir_cardinal,wspd,station_id
2019-12-09 23:00:00,8.15,10.33,4.0,61.0,1002.64,340.0,NNW,13.0,Gade
2019-12-09 23:30:00,5.99,7.11,4.0,61.0,1003.64,330.0,NNW,15.0,Gade
2019-12-10 00:00:00,6.81,7.34,4.0,61.0,1004.64,320.0,NW,13.0,Gade
2019-12-10 00:30:00,8.34,9.08,3.0,65.0,1005.64,320.0,NW,11.0,Gade
2019-12-10 01:00:00,,,3.0,65.0,1006.64,330.0,NNW,7.0,Gade
2019-12-10 01:30:00,11.0,14.25,3.0,65.0,1007.64,320.0,NW,7.0,Gade
2019-12-10 02:00:00,7.4,9.1,2.0,65.0,1008.64,340.0,NNW,6.0,Gade
2019-12-10 02:30:00,5.87,6.64,2.0,65.0,1008.64,350.0,N,4.0,Gade
2019-12-10 03:00:00,10.21,11.42,2.0,65.0,1009.64,350.0,N,2.0,Gade
2019-12-10 03:30:00,13.96,21.22,-1.0,80.0,1010.64,260.0,W,6.0,Gade
2019-12-10 04:00:00,19.64,41.42,1.0,70.0,1010.64,280.0,W,6.0,Gade
2019-12-10 04:30:00,22.77,56.36,1.0,70.0,1011.64,290.0,WNW,6.0,Gade
2019-12-10 05:00:00,34.87,73.06,-1.0,80.0,1012.64,240.0,WSW,2.0,Gade
2019-12-10 05:30:00,35.04,91.69,-1.0,86.0,1012.64,210.0,SSW,4.0,Gade
2019-12-10 06:00:00,,,-1.0,86.0,1012.64,190.0,S,7.0,Gade
2019-12-10 06:30:00,45.73,145.72,0.0,87.0,1013.64,260.0,W,7.0,Gade
2019-12-10 07:00:00,47.53,116.86,-2.0,93.0,1013.64,200.0,SSW,6.0,Gade
2019-12-10 07:30:00,55.42,212.63,-3.0,93.0,1014.64,160.0,SSE,2.0,Gade
2019-12-10 08:00:00,51.49,155.62,-1.0,86.0,1014.64,190.0,S,2.0,Gade
2019-12-10 08:30:00,53.89,138.48,-2.0,93.0,1014.64,170.0,S,2.0,Gade
2019-12-10 09:00:00,41.5,101.68,-2.0,86.0,1014.64,160.0,SSE,6.0,Gade
2019-12-10 09:30:00,41.25,102.14,-3.0,93.0,1014.64,140.0,SE,2.0,Gade
2019-12-10 10:00:00,34.76,106.38,-2.0,93.0,1015.64,150.0,SSE,6.0,Gade
2019-12-10 10:30:00,34.29,87.32,-1.0,93.0,1015.64,160.0,SSE,6.0,Gade
2019-12-10 11:00:00,34.18,84.91,0.0,93.0,1013.64,160.0,VAR,2.0,Gade
2019-12-10 11:30:00,38.21,96.24,0.0,93.0,1015.64,190.0,S,7.0,Gade
2019-12-10 12:00:00,31.04,87.48,1.0,93.0,1015.64,200.0,SSW,9.0,Gade
2019-12-10 12:30:00,33.87,114.13,1.0,93.0,1014.64,180.0,S,7.0,Gade
2019-12-10 13:00:00,35.13,89.25,2.0,93.0,1014.64,180.0,S,13.0,Gade
2019-12-10 13:30:00,34.78,112.48,2.0,93.0,1015.64,210.0,SSW,13.0,Gade
2019-12-10 14:00:00,35.12,107.13,3.0,87.0,1014.64,170.0,S,7.0,Gade
2019-12-10 14:30:00,37.8,98.72,3.0,87.0,1014.64,180.0,S,15.0,Gade
2019-12-10 15:00:00,38.35,108.51,3.0,87.0,1013.64,180.0,S,15.0,Gade
2019-12-10 15:30:00,38.44,104.21,3.0,87.0,1013.64,170.0,S,19.0,Gade
2019-12-10 16:00:00,38.89,112.36,3.0,87.0,1012.64,160.0,SSE,19.0,Gade
2019-12-10 16:30:00,37.58,106.87,3.0,87.0,1012.64,160.0,SSE,20.0,Gade
2019-12-10 17:00:00,38.16,96.37,3.0,87.0,1011.64,160.0,SSE,22.0,Gade
2019-12-10 17:30:00,34.14,72.72,4.0,81.0,1010.64,160.0,SSE,26.0,Gade
2019-12-10 18:00:00,29.94,66.74,4.0,81.0,1009.64,160.0,SSE,28.0,Gade
2019-12-10 18:30:00,27.55,50.38,4.0,81.0,1009.64,170.0,S,28.0,Gade
2019-12-10 19:00:00,21.38,37.18,4.0,81.0,1008.64,160.0,SSE,30.0,Gade
2019-12-10 19:30:00,17.65,43.11,4.0,81.0,1007.64,170.0,S,28.0,Gade
2019-12-10 20:00:00,20.77,37.2,4.0,81.0,1006.64,170.0,S,33.0,Gade
2019-12-10 20:30:00,19.81,30.1,4.0,81.0,1005.64,170.0,S,33.0,Gade
2019-12-10 21:00:00,15.68,30.43,4.0,81.0,1004.64,170.0,S,37.0,Gade
2019-12-10 21:30:00,17.06,27.37,4.0,81.0,1004.64,170.0,S,37.0,Gade
2019-12-10 22:00:00,20.12,35.55,4.0,81.0,1002.64,170.0,S,37.0,Gade
2019-12-10 22:30:00,18.88,27.41,4.0,81.0,1002.64,170.0,S,33.0,Gade
2019-12-10 23:00:00,19.57,32.61,4.0,81.0,1001.64,170.0,S,37.0,Gade
2019-12-10 23:30:00,14.13,22.68,4.0,87.0,1001.64,180.0,S,37.0,Gade
2019-12-11 00:00:00,14.34,22.97,4.0,87.0,1000.64,180.0,S,37.0,Gade
2019-12-11 00:30:00,18.26,23.86,4.0,87.0,1000.64,180.0,S,41.0,Gade
2019-12-11 01:00:00,15.71,18.97,4.0,87.0,999.64,190.0,S,41.0,Gade
2019-12-11 01:30:00,12.62,15.32,4.0,93.0,999.64,190.0,S,41.0,Gade
2019-12-11 02:00:00,11.33,11.95,5.0,87.0,998.65,190.0,S,44.0,Gade
2019-12-11 02:30:00,9.93,10.69,5.0,87.0,997.65,190.0,S,43.0,Gade
2019-12-11 03:00:00,11.97,13.5,5.0,87.0,997.65,190.0,S,46.0,Gade
