,NO2,NOX
754,8.366592,12.82122
755,8.914425,13.944408
756,9.795643,15.914576
757,10.534194,17.085577
758,11.159342,18.361668
759,11.792984,20.277561
760,12.513779,21.798473
761,12.972356,23.056435
762,13.300693,24.300797
763,13.899095,25.060448
764,13.965825,25.845993
765,14.316963,27.043102
766,14.431664,27.146896
767,14.590902,27.29955
768,5.511449,6.8710384
769,5.75642,7.420805
770,5.9105854,7.8611183
771,6.104762,8.240858
772,6.253419,8.657434
773,6.3630123,8.760691
774,6.50677,9.113747
775,6.3874245,9.078245
776,6.6330357,9.665829
777,6.638007,9.742271
778,6.5200157,9.608606
779,6.3940725,9.505661
780,6.5305815,9.528349
781,6.290164,9.344675
782,6.1427116,9.115738
783,6.132393,9.066881
784,5.909734,8.67827
785,5.720539,8.393698
786,5.6509666,8.033777
787,5.470293,7.927099
788,5.29088,7.591009
789,5.296015,7.2512703
790,5.1550255,7.260931
791,4.902276,6.8036995
792,4.8622446,6.6209393
793,4.7616396,6.1523724
794,4.4930725,6.326044
795,4.4770145,6.044174
796,4.5514145,5.746557
797,4.3360844,5.576565
798,4.580348,5.8422146
799,4.4672766,5.832638
800,4.8134174,6.2688503
801,4.802661,6.463135
802,5.250867,7.090109
803,5.3944273,7.3881836
804,5.843048,8.086369
805,6.1821976,8.555098
806,6.474655,9.035965
807,6.770747,10.15201
808,7.154585,11.300268
809,7.727271,11.598591
810,8.051887,12.352732
811,8.291438,12.744905
812,8.496737,13.555023
813,9.043164,14.264381
814,8.743896,14.835239
815,9.279274,15.255543
816,5.664342,7.462866
817,5.8767548,7.9862766
818,5.9823084,8.2931595
819,6.144555,8.442438
820,6.1973534,8.902218
821,6.336603,8.890354
822,6.3940964,9.161867
823,6.351406,9.052135
824,6.416851,9.588289
825,6.4663754,9.529932
826,6.279462,9.257933
827,6.0705957,9.102411
828,5.9612827,8.85014
829,5.734933,8.401619
830,5.689761,8.116087
831,5.3216248,7.846466
832,5.0553827,7.2480583
833,4.879097,6.707329
834,4.706195,6.326044
835,4.466013,5.9171143
836,4.321163,5.75387
837,4.382719,5.4363403
838,4.234972,5.380602
839,4.1366396,5.061302
840,4.0996904,5.11763
841,4.1385174,4.9250355
842,4.1941357,5.047188
843,4.404333,5.241331
844,4.727022,5.384144
845,4.6840544,5.6646156
846,5.1549845,6.1095676
847,5.290082,6.945368
848,5.7175407,7.756445
849,6.056843,8.256441
850,6.616684,9.434774
851,7.025552,10.228153
852,7.6848145,11.4846325
853,8.069809,11.991941
854,8.506935,12.5455
855,8.79071,13.686857
856,9.059881,14.625071
857,9.43714,14.9292755
858,9.546612,15.420284
859,9.808725,15.811087
860,9.784235,16.317114
861,10.146076,16.753708
862,10.024691,16.905296
863,9.917616,16.876492
864,24.907642,56.329086
865,24.599052,55.407467
866,24.323883,54.32481
867,24.189346,52.799324
868,23.89536,51.924065
869,23.61677,50.183598
870,23.35347,48.46244
871,22.941744,47.316097
872,22.673418,46.42798
873,22.25555,44.23529
874,21.901814,43.204865
875,21.280787,41.1336
876,20.478767,39.14596
877,19.691889,37.01795
878,18.925676,35.137093
879,17.911251,32.7617
880,17.104067,30.27906
881,16.153349,28.416988
882,15.043311,25.990906
883,14.26615,24.113901
884,13.597342,22.388382
885,12.789926,20.63839
886,12.078699,19.454258
887,11.589609,18.154491
888,11.418327,17.453136
889,11.090441,16.999226
890,11.231478,17.22198
891,11.514082,17.92754
892,11.760384,18.618633
893,12.243284,19.786968
894,12.969584,21.234898
895,13.693403,23.076376
896,14.47918,25.485909
897,15.455298,27.43971
898,16.373413,29.992052
899,17.357841,32.8383
900,18.464752,35.410835
901,19.48432,37.517395
902,20.330235,39.87127
903,21.080189,42.471992
904,21.698309,44.08178
905,21.871,45.70813
906,22.283981,47.259605
907,22.548622,47.66445
908,22.647926,48.89566
909,22.47777,49.07545
910,22.380684,48.383648
911,22.0168,47.758923
912,17.199953,32.464718
913,17.052296,31.642374
914,16.794512,30.959997
915,16.669794,29.842289
916,16.261307,29.137762
917,15.940183,27.842518
918,15.643331,26.741467
919,15.113831,25.473377
920,14.596654,24.900036
921,13.977545,22.967243
922,13.44106,21.897589
923,12.714127,20.2289
924,11.84505,18.695858
925,11.182737,17.102758
926,10.600651,15.956774
927,9.717794,14.751146
928,9.235589,13.387953
929,8.813514,12.7960205
930,8.394068,12.066446
931,8.21395,11.933918
932,8.180074,11.711821
933,8.142662,11.644516
934,8.162052,12.144293
935,8.508966,12.5061245
936,8.89059,13.327425
937,9.149351,14.186375
938,9.850452,15.640011
939,10.657532,17.400766
940,11.449915,19.01098
941,11.851799,20.75324
942,12.983687,22.811817
943,13.613742,24.842304
944,14.443214,27.146395
945,15.33709,29.11458
946,16.045967,30.915085
947,16.938517,32.71261
948,17.578344,34.42914
949,18.08569,35.59074
950,18.430668,36.41153
951,18.698467,37.48643
952,18.764343,37.83363
953,18.795332,37.79154
954,18.537268,37.606056
955,18.607138,36.82449
956,18.30821,36.385376
957,18.022123,35.634254
958,17.725292,34.557762
959,17.287996,33.486706
960,14.862153,26.379692
961,14.726253,25.730564
962,14.425898,25.124708
963,14.276418,24.119411
964,13.896356,23.553265
965,13.519794,22.41882
966,13.187459,21.46687
967,12.658906,20.264393
968,12.217989,19.819336
969,11.687115,18.234612
970,11.19845,17.296038
971,10.606779,16.074314
972,9.877901,14.903843
973,9.419855,13.811218
974,9.057283,13.0261135
975,8.502982,12.29397
976,8.208311,11.482851
977,7.9649143,11.210287
978,7.7349615,11.03154
979,7.6793165,11.1019745
980,7.7519846,11.102919
981,7.865016,11.467592
982,7.958434,12.013496
983,8.343876,12.507149
984,8.714754,13.328453
985,8.971111,14.229176
986,9.664443,15.502531
987,10.386311,17.136042
988,11.123583,18.59223
989,11.442633,20.034534
990,12.4365015,21.810993
991,12.907603,23.642715
