,NO2,NOX
1098,35.13,89.25
1099,34.78,83.61
1100,35.12,107.13
1101,27.69,98.72
1102,38.35,92.91
1103,30.06,72.71
1104,29.28,63.51
1105,37.58,86.01
1106,37.58,78.73
1107,24.94,71.13
1108,24.88,65.35
1109,24.81,54.84
1110,9.56,57.67
1111,13.44,30.37
1112,28.31,54.59
1113,12.47,37.73
1114,15.45,34.0
1115,18.8,37.71
1116,25.34,52.53
1117,12.2,41.94
1118,0.0,47.02
1119,13.0,26.56
1120,8.82,20.64
1121,9.68,23.08
1122,7.19,15.26
1123,9.43,18.3
1124,10.0,19.42
1125,12.25,21.86
1126,7.8,24.04
1127,5.43,11.13
1128,4.0,7.76
1129,3.6,7.71
1130,5.05,10.52
1131,5.64,10.14
1132,4.9,10.75
1133,12.41,18.51
1134,34.52,52.02
1135,32.35,48.08
1136,18.07,29.53
1137,15.95,30.5
1138,23.47,39.68
1139,23.66,46.3
1140,25.91,60.4
1141,34.18,70.05
1142,36.26,71.26
1143,31.04,76.58
1144,21.36,51.14
1145,30.85,89.25
1146,26.01,60.82
1147,25.07,62.08
1148,26.14,80.02
1149,23.94,79.25
1150,31.04,91.53
1151,25.44,59.1
1152,23.26,66.96
1153,38.16,96.37
1154,34.14,83.41
1155,34.82,76.48
1156,29.51,59.84
1157,27.46,57.67
1158,30.36,56.55
1159,28.31,54.59
1160,26.21,50.0
1161,21.65,48.67
1162,26.24,47.83
1163,25.34,52.53
1164,18.46,39.84
1165,5.87,47.02
1166,15.23,34.95
1167,13.1,28.56
1168,14.77,29.42
1169,13.98,23.66
1170,12.53,23.14
1171,9.66,19.42
1172,12.25,21.86
1173,13.9,24.04
1174,13.03,23.09
1175,8.68,14.61
1176,6.29,10.35
1177,14.36,32.07
1178,19.43,34.9
1179,28.25,40.62
1180,23.31,34.58
1181,34.1,60.68
1182,26.93,45.9
1183,31.05,78.8
1184,32.36,100.41
1185,34.33,74.57
1186,33.87,106.38
1187,19.14,44.77
1188,28.4,58.98
1189,23.62,49.88
1190,31.04,68.89
1191,33.87,83.42
1192,27.43,80.23
1193,34.78,83.61
1194,32.21,79.06
1195,37.8,90.61
1196,17.02,39.72
1197,25.0,48.5
1198,38.89,73.31
1199,37.58,75.83
1200,30.22,71.28
1201,20.71,46.49
1202,24.67,59.73
1203,22.97,43.87
1204,11.86,28.84
1205,21.21,37.37
1206,18.95,41.6
1207,17.98,38.84
1208,13.81,32.99
1209,8.34,19.16
1210,9.05,22.55
1211,7.44,21.08
1212,8.4,19.78
1213,4.17,6.08
1214,3.29,7.55
1215,4.7,8.19
1216,11.67,18.17
1217,3.44,4.02
1218,4.44,5.58
1219,4.53,7.78
1220,3.42,5.66
1221,3.98,4.84
1222,5.68,9.72
1223,5.09,9.66
1224,21.27,45.56
1225,31.36,68.8
1226,41.65,89.56
1227,43.24,114.84
1228,44.16,95.49
1229,39.46,124.29
1230,37.98,118.78
1231,32.36,100.41
1232,34.33,102.14
1233,33.87,106.38
1234,33.71,87.32
1235,34.18,84.91
1236,38.21,96.24
1237,31.04,78.9
1238,28.76,59.92
1239,35.13,89.25
1240,34.78,112.48
1241,35.12,107.13
