,NO2,NOX,O3
715,11.145797,12.9655,36.31669
716,11.368687,13.392342,36.352943
717,11.469948,13.474697,36.333847
718,11.508522,13.847169,36.698563
719,11.616562,13.930744,36.816673
720,5.9667163,7.3150144,64.54622
721,5.9872794,7.258481,64.525925
722,6.041007,7.2122064,64.283646
723,6.0154824,7.128751,64.30163
724,6.0699253,7.0830126,63.887997
725,6.094628,7.0848413,63.430435
726,6.134824,7.0832777,63.10936
727,6.1888814,7.0829024,62.794617
728,6.2877183,7.069589,62.252113
729,6.307774,7.069023,61.88801
730,6.3405876,7.1074533,61.46697
731,6.3921194,7.105741,60.99488
732,6.3905435,7.116854,60.580463
733,6.3834596,7.0199127,60.191273
734,6.333415,7.0316195,59.906906
735,6.2547693,6.9138737,59.6848
736,6.1826515,6.84256,59.58769
737,6.079221,6.716011,59.407413
738,6.03124,6.623979,59.265556
739,5.9304123,6.5538883,59.298084
740,5.8668942,6.4517846,59.04018
741,5.737097,6.3484173,58.984592
742,5.618834,6.250723,58.988865
743,5.56281,6.227581,58.98306
744,5.490512,6.147035,58.996178
745,5.483705,6.144635,58.948143
746,5.4715347,6.133672,58.90182
747,5.4886065,6.1158237,58.930508
748,5.509177,6.251793,59.017483
749,5.621421,6.3124137,59.039513
750,5.69892,6.500785,58.98635
751,5.89356,6.649478,58.757866
752,6.014622,6.930727,58.733906
753,6.220482,7.177453,58.666885
754,6.4590883,7.5373697,58.65395
755,6.70134,7.8661013,58.45844
756,6.874548,8.069592,58.443413
757,7.0200744,8.346411,58.525627
758,7.1981564,8.5735855,58.424995
759,7.3772616,8.81549,58.613598
760,7.4674296,8.985704,58.967583
761,7.57899,9.137071,59.131596
762,7.5795546,9.198813,59.346066
763,7.5256066,9.173915,60.06693
764,7.451596,9.027076,60.071186
765,7.3736124,8.869447,60.68654
766,7.229061,8.803288,61.035164
767,7.1021495,8.591092,61.412582
768,5.901764,6.918495,51.65149
769,5.963235,6.914233,51.872616
770,6.1087356,6.94185,51.771805
771,6.070096,6.8056173,52.13116
772,6.049035,6.725497,52.15963
773,5.9770813,6.6545467,52.370342
774,5.9916534,6.588952,52.48862
775,5.97136,6.436306,52.493908
776,5.9893274,6.39168,52.449936
777,5.9074564,6.1746445,52.323822
778,5.867508,6.2618704,52.001087
779,5.882169,6.2171884,51.550243
780,5.927148,6.1544876,51.401947
781,5.8869205,6.0054293,50.88421
782,5.8665404,6.065298,50.46172
783,5.789569,5.8682976,50.087208
784,5.7883596,5.800007,49.85378
785,5.709091,5.717273,49.524887
786,5.5557814,5.594874,48.895874
787,5.5239105,5.444731,48.8116
788,5.438637,5.4645414,48.21418
