station_id,Recorded,NO2,NOx
Oesterbro,2020-01-18 21:30:00,72.91,3.44
Vesterbro,2020-01-18 21:30:00,3.43,5.62
Vesterbro,2020-01-18 22:00:00,3.96,7.64
Oesterbro,2020-01-18 22:00:00,72.08,3.74
Vesterbro,2020-01-18 22:30:00,3.02,6.09
Oesterbro,2020-01-18 22:30:00,72.88,3.05
Vesterbro,2020-01-18 23:00:00,3.63,6.48
Oesterbro,2020-01-18 23:00:00,71.17,3.55
Oesterbro,2020-01-18 23:30:00,73.03,1.89
Vesterbro,2020-01-18 23:30:00,2.73,4.79
Oesterbro,2020-01-19 00:00:00,73.17,2.08
Vesterbro,2020-01-19 00:00:00,2.53,4.92
Oesterbro,2020-01-19 00:30:00,73.65,1.68
Vesterbro,2020-01-19 00:30:00,2.55,4.47
Oesterbro,2020-01-19 01:00:00,72.8,1.81
Vesterbro,2020-01-19 01:00:00,2.9,4.79
Vesterbro,2020-01-19 01:30:00,3.41,5.1
Oesterbro,2020-01-19 01:30:00,72.42,2.04
Oesterbro,2020-01-19 02:00:00,71.53,
Vesterbro,2020-01-19 02:00:00,2.99,4.42
Oesterbro,2020-01-19 02:30:00,71.63,3.5
Vesterbro,2020-01-19 02:30:00,3.93,5.16
Oesterbro,2020-01-19 03:00:00,,3.09
Vesterbro,2020-01-19 03:00:00,4.45,6.67
Oesterbro,2020-01-19 03:30:00,72.88,3.4
Vesterbro,2020-01-19 03:30:00,4.56,7.11
Oesterbro,2020-01-19 04:00:00,74.42,2.23
Vesterbro,2020-01-19 04:00:00,3.69,6.41
Oesterbro,2020-01-19 04:30:00,74.68,2.33
Vesterbro,2020-01-19 04:30:00,4.51,7.12
Oesterbro,2020-01-19 05:00:00,75.03,2.29
Vesterbro,2020-01-19 05:00:00,1.92,3.92
Oesterbro,2020-01-19 05:30:00,74.74,2.58
Vesterbro,2020-01-19 05:30:00,1.78,2.89
Vesterbro,2020-01-19 06:30:00,3.1,4.49
Oesterbro,2020-01-19 06:30:00,74.26,2.58
Vesterbro,2020-01-19 07:00:00,3.1,5.58
Oesterbro,2020-01-19 07:00:00,74.76,1.85
