Recorded;NO2;NOx;O3
05-05-2020 10:30:00;3.12;4.23;78.56
05-05-2020 10:00:00;2.93;4.15;77.63
05-05-2020 09:30:00;3.22;4.54;75.48
05-05-2020 09:00:00;3.66;4.82;74.04
05-05-2020 08:30:00;3.83;5.36;70.29
05-05-2020 08:00:00;5.73;8.4;65.17
05-05-2020 07:30:00;7.42;10.15;61.97
05-05-2020 07:00:00;7.5;9.88;61.95
05-05-2020 06:30:00;11.48;14.67;57.41
05-05-2020 06:00:00;11.04;13.46;59.15
05-05-2020 05:30:00;8.98;10.61;63.38
05-05-2020 05:00:00;7.16;7.59;65.16
05-05-2020 04:30:00;4.89;5.11;66.47
05-05-2020 03:30:00;4.34;4.4;65.52
05-05-2020 03:00:00;4.37;4.5;67.15
05-05-2020 02:30:00;4.3;4.23;68.93
05-05-2020 02:00:00;6.05;6.38;61.02
05-05-2020 01:30:00;6.45;6.4;61.85
05-05-2020 01:00:00;6.45;6.56;
05-05-2020 00:30:00;6.16;6.44;65.26
05-05-2020 00:00:00;6.64;6.65;67.19
04-05-2020 23:30:00;4.62;4.83;74.92
04-05-2020 23:00:00;5.01;5.46;74.98
04-05-2020 22:30:00;4.87;4.77;77.37
04-05-2020 22:00:00;5.26;5.4;76.0
04-05-2020 21:30:00;5.95;5.96;74.27
04-05-2020 21:00:00;5.53;5.39;75.52
04-05-2020 20:30:00;4.28;4.21;78.58
04-05-2020 20:00:00;4.55;4.79;79.86
04-05-2020 19:30:00;3.82;4.12;82.3
04-05-2020 19:00:00;3.13;3.02;85.58
04-05-2020 18:30:00;2.32;2.62;87.15
04-05-2020 18:00:00;2.89;3.16;87.6
04-05-2020 17:30:00;3.07;3.39;86.71
04-05-2020 17:00:00;3.62;4.91;85.26
04-05-2020 16:30:00;3.24;4.22;84.65
04-05-2020 16:00:00;3.29;4.1;84.82
04-05-2020 15:30:00;2.68;3.29;85.88
04-05-2020 15:00:00;3.77;4.77;82.78
04-05-2020 14:30:00;3.64;4.64;82.92
04-05-2020 14:00:00;3.16;3.97;82.12
04-05-2020 13:30:00;3.51;4.37;81.79
04-05-2020 13:00:00;4.41;5.52;79.31
04-05-2020 12:30:00;3.01;3.78;79.64
04-05-2020 12:00:00;3.58;4.7;80.26
04-05-2020 11:30:00;2.89;4.14;80.6
04-05-2020 11:00:00;3.48;4.85;79.82
04-05-2020 10:30:00;4.16;5.52;80.24
04-05-2020 10:00:00;4.04;5.16;80.59
04-05-2020 09:30:00;3.72;4.95;80.81
04-05-2020 09:00:00;3.7;5.16;80.26
04-05-2020 08:30:00;4.39;5.55;79.98
04-05-2020 08:00:00;4.41;5.37;79.98
04-05-2020 07:30:00;6.63;8.62;78.61
04-05-2020 07:00:00;7.04;9.01;77.99
04-05-2020 06:30:00;9.69;11.91;71.74
04-05-2020 05:30:00;7.91;8.74;72.06
04-05-2020 05:00:00;5.56;5.95;72.56
04-05-2020 04:30:00;4.32;4.36;73.94
04-05-2020 04:00:00;4.68;4.8;73.37
04-05-2020 03:30:00;3.3;3.34;75.53
04-05-2020 03:00:00;2.3;2.28;
04-05-2020 02:30:00;2.12;2.26;78.31
04-05-2020 02:00:00;2.84;2.68;75.15
04-05-2020 01:30:00;4.72;4.78;71.05
04-05-2020 01:00:00;4.07;4.09;73.67
04-05-2020 00:30:00;3.03;2.99;76.86
04-05-2020 00:00:00;2.8;2.66;77.34
03-05-2020 23:30:00;3.14;3.47;77.45
03-05-2020 23:00:00;2.57;2.65;79.76
03-05-2020 22:30:00;2.51;2.69;81.3
03-05-2020 22:00:00;3.35;3.65;81.36
03-05-2020 21:30:00;3.16;3.8;82.36
03-05-2020 21:00:00;3.64;3.7;82.99
03-05-2020 20:30:00;3.05;3.36;85.15
03-05-2020 20:00:00;3.66;4.11;86.38
03-05-2020 19:30:00;3.28;3.32;87.08
03-05-2020 19:00:00;2.78;2.88;86.62
03-05-2020 18:30:00;2.77;3.05;86.52
03-05-2020 18:00:00;2.89;3.21;86.64
03-05-2020 17:30:00;3.01;3.13;87.55
03-05-2020 17:00:00;2.62;2.92;86.2
03-05-2020 16:30:00;2.79;3.46;86.26
03-05-2020 16:00:00;2.68;3.28;86.82
03-05-2020 15:30:00;2.93;3.57;85.47
03-05-2020 15:00:00;3.27;3.73;84.55
03-05-2020 14:30:00;2.91;3.67;84.53
03-05-2020 14:00:00;3.0;3.84;82.73
03-05-2020 13:30:00;2.77;3.55;83.86
03-05-2020 13:00:00;3.05;3.53;84.73
03-05-2020 12:30:00;2.76;3.36;85.49
03-05-2020 12:00:00;2.79;3.5;86.92
03-05-2020 11:30:00;2.66;3.53;84.34
03-05-2020 11:00:00;2.52;2.9;84.16
